-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1009.0     52   18.2   18.2    100  13.21    180      1  290.6  327.9  292.9
 1000.0    132   21.6   12.6     57   9.24     90      4  294.8  321.6  296.4
  981.0    298   22.0    7.0     38   6.44    107      4  296.8  315.9  297.9
  970.0    396   22.2    6.2     35   6.16    117      3  297.9  316.4  299.0
  947.0    604   20.8    5.8     38   6.14    139      3  298.6  317.0  299.7
  925.0    806   18.8    6.8     46   6.74    160      2  298.5  318.6  299.7
  915.0    899   18.0    7.0     49   6.91    166      3  298.6  319.2  299.9
  850.0   1524   12.0    5.0     62   6.47    205      9  298.7  318.1  299.9
  841.0   1613   11.4    5.4     67   6.73    211     12  299.0  319.1  300.2
  834.0   1683   11.7    1.0     48   4.95    215     14  300.0  315.1  300.9
  816.0   1866   12.4  -10.6     19   2.10    211     14  302.6  309.4  303.0
  793.0   2105   11.6  -13.4     16   1.72    205     14  304.3  309.9  304.6
  785.0   2189   11.8  -14.2     15   1.63    203     14  305.4  310.8  305.7
  765.0   2405   10.8  -12.2     19   1.97    198     14  306.5  313.0  306.9
  700.0   3139    7.0  -14.0     21   1.86    180     13  310.2  316.4  310.6
  667.0   3533    5.3  -18.3     16   1.36    165     21  312.6  317.2  312.8
  662.0   3595    5.0  -19.0     16   1.29    168     21  312.9  317.4  313.2
  614.0   4204    1.8  -19.2     19   1.37    197     24  316.1  320.8  316.3
  604.0   4336    2.8  -26.2     10   0.75    203     24  318.7  321.4  318.9
  555.0   5015   -0.1  -33.6      6   0.41    235     27  323.0  324.6  323.1
  549.0   5102   -0.5  -34.5      6   0.38    234     28  323.6  325.1  323.7
  500.0   5840   -6.1  -37.1      7   0.32    230     36  325.5  326.8  325.6
  490.0   5997   -7.5  -37.5      7   0.31    230     37  325.7  326.9  325.8
  434.0   6929  -13.9  -36.9     12   0.37    230     40  329.1  330.5  329.1
  400.0   7540  -19.9  -36.9     21   0.41    230     43  329.0  330.6  329.1
  371.0   8095  -24.3  -43.3     16   0.22    234     45  330.4  331.3  330.4
  300.0   9610  -36.7  -54.7     14   0.08    245     51  333.5  333.9  333.5
  290.0   9839  -38.7  -55.5     15   0.07    245     49  334.0  334.3  334.0
  251.0  10814  -47.1  -59.1     24   0.05    255     60  335.5  335.8  335.5
  250.0  10840  -47.3  -59.3     24   0.05    255     60  335.6  335.8  335.6
  238.0  11163  -50.5  -54.3     64   0.10    254     64  335.5  336.0  335.6
  225.0  11528  -51.1  -62.1     26   0.04    253     69  340.1  340.2  340.1
  200.0  12290  -52.7  -68.7     13   0.02    250     80  349.1  349.2  349.2
  177.0  13061  -57.8  -71.8     15   0.01    250     95  353.2  353.2  353.2
  156.0  13859  -63.1  -75.1     18   0.01    250     78  357.2  357.2  357.2
  150.0  14100  -63.3  -75.3     18   0.01    250     73  360.8  360.9  360.8
  100.0  16550  -70.7  -84.7     11   0.00    255     48  390.9  390.9  390.9
   99.0  16609  -70.8  -84.8     11   0.00    255     48  391.8  391.8  391.8
   98.1  16663  -70.9  -84.9     11   0.00    255     49  392.6  392.6  392.6
   82.0  17727  -69.8  -84.6     10   0.00    225     41  415.5  415.6  415.5
   78.3  18001  -69.5  -84.5     10   0.00    232     35  421.6  421.7  421.6
   74.0  18338  -69.0  -84.0     10   0.00    240     27  429.6  429.6  429.6
   70.0  18670  -68.5  -83.5     10   0.01    175     14  437.5  437.5  437.5
   66.0  19024  -66.8  -83.1      8   0.01     95      7  448.6  448.6  448.6
   63.9  19219  -65.9  -82.9      8   0.01     73     10  454.8  454.8  454.8
   60.0  19597  -68.1  -86.6      6   0.00     30     16  458.0  458.1  458.0
   58.7  19729  -68.9  -87.9      5   0.00     34     14  459.2  459.2  459.2
   52.0  20463  -64.5  -88.8      2   0.00     55      5  485.6  485.6  485.6
   50.0  20700  -63.1  -89.1      2   0.00     80     11  494.4  494.4  494.4
   47.7  20992  -60.1  -89.1      1   0.00    100     21  508.2  508.2  508.2
   46.0  21222  -59.6  -88.7      1   0.00    115     29  514.8  514.8  514.8
   35.0  22953  -55.7  -86.0      1   0.01     90     24  566.7  566.8  566.7
   30.0  23930  -53.5  -84.5      1   0.01     85     35  598.2  598.3  598.2
   29.7  23995  -53.3  -85.3      1   0.01     84     36  600.5  600.5  600.5
   27.0  24613  -52.5  -84.8      1   0.01     75     41  619.2  619.3  619.2
   20.0  26560  -50.1  -83.1      1   0.02     85     24  682.1  682.3  682.1
   18.7  27000  -48.5  -81.5      1   0.03     84     29  700.3  700.6  700.3
   15.0  28464  -46.3  -80.2      1   0.04     80     46  753.2  753.7  753.3
   11.9  30002  -43.9  -78.9      1   0.07     74     43  813.1  813.9  813.1
   10.0  31180  -39.5  -75.5      1   0.14     70     40  871.0  872.7  871.0
Station information and sounding indices
