-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1007.0      2   30.0    8.0     25   6.72    350      5  302.6  323.0  303.8
 1006.0     12   29.2   25.0     78  20.31    351      5  301.8  362.1  305.5
 1000.0     74   28.2   24.4     80  19.69      0      5  301.4  359.7  304.9
  968.0    363   25.4   24.0     92  19.87    347      5  301.3  360.1  304.9
  925.0    763   23.4   19.8     80  15.98    330      6  303.2  350.9  306.1
  905.0    954   22.2   18.7     81  15.24    317      6  303.9  349.4  306.7
  850.0   1499   20.2   15.8     76  13.46    280      6  307.3  348.1  309.8
  700.0   3156   12.6    7.7     72   9.51    335      5  316.4  346.6  318.2
  696.0   3204   12.4    7.4     72   9.37    332      5  316.7  346.4  318.5
  621.0   4152    5.6    4.4     92   8.52    279      7  319.4  346.8  321.0
  536.0   5346   -0.4   -9.0     52   3.63    210     10  325.9  338.4  326.7
  532.0   5406   -0.7   -9.7     51   3.46    226      9  326.3  338.2  327.0
  511.0   5727   -2.7   -8.7     63   3.90    313      3  327.6  341.0  328.4
  500.0   5900   -3.9   -5.0     92   5.31      0      0  328.2  346.2  329.3
  499.0   5916   -3.9   -4.8     93   5.40      0      0  328.4  346.7  329.5
  496.0   5963   -3.9   -8.9     68   3.96      0      0  329.0  342.6  329.8
  487.0   6108   -4.7   -6.1     90   5.01      0      0  329.7  346.8  330.7
  475.0   6304   -5.1  -10.1     68   3.76    356      0  331.6  344.7  332.3
  455.0   6640   -7.3  -13.3     62   3.03    350      1  332.9  343.7  333.5
  400.0   7630  -13.5  -15.5     85   2.88    330      3  337.4  347.7  337.9
  398.0   7668  -13.9  -15.8     86   2.82    346      4  337.3  347.5  337.9
  379.0   8039  -15.4  -17.5     84   2.58    145     10  340.0  349.5  340.6
  371.0   8201  -16.1  -18.2     84   2.47    129     12  341.2  350.4  341.8
  364.0   8344  -17.1  -19.0     85   2.36    115     13  341.7  350.4  342.2
  342.0   8811  -20.5  -21.6     91   2.00    110     16  343.3  350.8  343.7
  341.0   8832  -20.6  -21.8     91   1.98    110     16  343.4  350.8  343.8
  318.0   9343  -24.3  -25.9     86   1.46     75     12  345.3  350.9  345.6
  303.0   9697  -26.8  -28.8     83   1.18     70     16  346.5  351.1  346.8
  300.0   9770  -27.3  -29.4     82   1.12     75     15  346.8  351.2  347.0
  282.0  10210  -30.1  -34.1     68   0.76    101     14  348.9  352.0  349.1
  276.0  10360  -31.4  -35.3     68   0.69    110     13  349.3  352.1  349.4
  250.0  11050  -37.1  -40.6     70   0.44     95     13  350.8  352.6  350.9
  249.0  11077  -37.3  -40.9     70   0.43     95     14  350.8  352.6  350.9
  230.0  11611  -42.1  -45.9     66   0.27    100     18  351.6  352.8  351.7
  200.0  12550  -50.5  -54.9     59   0.11    120     14  352.6  353.1  352.7
  175.0  13406  -58.6  -64.5     47   0.04    130     15  353.0  353.2  353.0
  173.0  13480  -59.3  -65.3     46   0.03    128     16  353.0  353.2  353.0
  164.0  13813  -62.3  -66.9     54   0.03    120     20  353.5  353.6  353.5
  161.0  13928  -63.3  -67.4     57   0.03    122     23  353.6  353.8  353.6
  150.0  14360  -67.1  -74.1     37   0.01    130     34  354.3  354.4  354.3
  148.0  14441  -67.9  -73.9     42   0.01    131     37  354.3  354.3  354.3
  141.0  14730  -69.3  -82.3     14   0.00    135     47  356.8  356.8  356.8
  139.0  14815  -69.1  -87.1      6   0.00    137     45  358.6  358.6  358.6
  128.0  15290  -72.7  -87.3      9   0.00    150     35  360.7  360.7  360.7
  100.0  16710  -83.3  -88.0     44   0.00     80     10  366.5  366.6  366.5
   95.4  16971  -85.5  -89.3     51   0.00    129     11  367.2  367.2  367.2
   94.0  17052  -85.9  -89.8     50   0.00    145     11  368.0  368.0  368.0
   90.0  17290  -87.0  -91.1     47   0.00    115     13  370.4  370.4  370.4
   86.1  17532  -88.1  -92.5     45   0.00    125     13  372.9  372.9  372.9
   85.0  17603  -87.6  -92.0     45   0.00    125     16  375.3  375.3  375.3
   77.6  18104  -83.9  -88.4     46   0.00     79     22  392.8  392.9  392.8
   77.0  18147  -84.1  -88.7     45   0.00     75     23  393.3  393.3  393.3
   74.8  18307  -84.9  -89.9     41   0.00     90     24  394.9  394.9  394.9
   74.0  18368  -83.9  -89.9     35   0.00     95     25  398.2  398.2  398.2
   71.0  18600  -80.0  -89.7     19   0.00     80     23  411.2  411.2  411.2
   70.0  18680  -78.7  -89.7     15   0.00     90     19  415.7  415.7  415.7
   69.0  18762  -77.4  -90.4     11   0.00    120     21  420.2  420.2  420.2
   68.0  18846  -76.1  -91.1      8   0.00    115     23  424.8  424.8  424.8
   63.8  19212  -76.9  -92.9      6   0.00     94     30  430.8  430.8  430.8
   63.0  19285  -75.6  -92.8      5   0.00     90     32  435.3  435.3  435.3
   61.3  19443  -72.7  -92.7      4   0.00     82     24  445.1  445.1  445.1
   61.0  19473  -72.6  -92.7      3   0.00     80     23  446.0  446.0  446.0
   59.0  19670  -71.8  -92.6      3   0.00     95     18  451.9  451.9  451.9
   57.0  19874  -71.1  -92.5      3   0.00     80     14  458.2  458.2  458.2
   55.0  20086  -70.2  -92.4      3   0.00    100     24  464.7  464.7  464.7
   52.0  20418  -69.0  -92.2      2   0.00    120     15  475.2  475.2  475.2
   50.0  20650  -68.1  -92.1      2   0.00    110     22  482.6  482.6  482.6
   48.0  20895  -66.8  -92.6      2   0.00     95     21  491.3  491.3  491.3
   47.8  20920  -66.7  -92.7      2   0.00     95     21  492.2  492.2  492.2
   45.1  21269  -68.7  -92.7      2   0.00     90     22  495.6  495.6  495.6
   40.0  22003  -65.3  -93.0      1   0.00     80     23  521.3  521.4  521.3
   38.0  22317  -63.9  -93.1      1   0.00    100     14  532.7  532.7  532.7
   36.0  22648  -62.4  -93.2      1   0.00    100     11  545.0  545.0  545.0
   34.0  22998  -60.7  -93.3      1   0.00    100     27  558.1  558.2  558.1
   33.0  23180  -59.9  -93.4      1   0.00     90     26  565.2  565.2  565.2
   31.4  23484  -58.5  -93.5      0   0.00    114     29  577.0  577.0  577.0
   31.0  23565  -58.6  -93.3      0   0.00    120     30  579.0  579.0  579.0
   30.0  23770  -58.7  -92.7      1   0.00    110     31  584.0  584.0  584.0
   28.0  24207  -57.7  -92.4      0   0.00    115     42  598.4  598.4  598.4
   26.0  24675  -56.7  -92.0      0   0.00     85     47  614.2  614.2  614.2
   24.3  25103  -55.7  -91.7      0   0.00     77     42  629.0  629.0  629.0
   24.0  25183  -55.7  -91.7      0   0.00     75     41  631.2  631.2  631.2
   23.0  25457  -53.6  -90.5      0   0.00     70     38  645.1  645.2  645.1
   21.8  25802  -50.9  -88.9      0   0.01     79     34  663.1  663.1  663.1
   21.0  26044  -52.0  -89.5      0   0.01     85     31  666.8  666.9  666.8
   20.4  26232  -52.9  -89.9      0   0.01     91     33  669.7  669.8  669.7
   20.0  26360  -52.7  -89.7      0   0.01     95     34  674.1  674.2  674.1
   18.4  26896  -52.7  -89.7      0   0.01     87     48  690.4  690.4  690.4
   18.0  27039  -51.2  -88.6      0   0.01     85     52  699.4  699.5  699.4
   17.3  27297  -48.5  -86.5      0   0.01     84     54  716.0  716.2  716.0
   14.5  28444  -52.3  -89.3      0   0.01     80     63  740.3  740.4  740.3
   13.1  29097  -52.9  -89.9      0   0.01     81     69  760.0  760.2  760.0
   10.0  30860  -45.9  -84.9      0   0.03     85     85  847.1  847.5  847.1
    9.7  31063  -45.9  -84.9      0   0.03     90     91  854.5  854.9  854.5
    9.2  31415  -45.9  -84.9      0   0.03     86     85  867.5  868.0  867.5
    9.0                                        85     83                     
Station information and sounding indices
