-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1004.0     30   30.6   24.6     70  19.86    245     12  303.4  362.8  307.0
 1000.0     70   30.0   25.3     76  20.82    250     10  303.1  365.4  306.9
  946.0    564   25.0   23.9     94  20.21    246     20  302.9  363.2  306.6
  937.0    648   24.7   22.2     86  18.40    245     22  303.5  358.4  306.8
  925.0    762   24.4   20.0     76  16.19    250     22  304.2  352.7  307.2
  903.0    973   23.1   20.6     86  17.28    255     18  305.0  356.9  308.2
  901.0    993   23.0   20.7     87  17.39    253     18  305.1  357.3  308.3
  891.0   1091   24.0   15.0     57  12.18    245     16  307.1  344.1  309.4
  859.0   1410   22.6   13.6     57  11.52    217     10  308.9  344.2  311.0
  857.0   1431   22.4   13.9     58  11.75    215     10  308.9  344.9  311.1
  850.0   1502   21.8   14.8     64  12.61    210      9  309.0  347.5  311.3
  817.0   1840   19.4   13.2     67  11.80    195      5  310.0  346.3  312.2
  700.0   3157   10.2    6.9     80   8.99    115      8  313.8  342.0  315.4
  695.0   3217    9.6    6.7     82   8.93    112      9  313.7  341.8  315.4
  657.0   3680    7.0    1.6     69   6.58     85     14  315.8  336.9  317.1
  633.0   3987    5.2   -1.8     61   5.33     97     12  317.2  334.5  318.2
  628.0   4051    4.7   -1.3     65   5.57    100     11  317.4  335.4  318.4
  611.0   4274    3.0    0.4     83   6.49     94     11  317.9  338.9  319.1
  606.0   4341    2.8   -5.2     56   4.31     92     11  318.4  332.6  319.2
  589.0   4571    0.8    0.8    100   6.93     86     10  318.7  341.1  320.0
  585.0   4625    0.7    0.4     98   6.78     85     10  319.2  341.2  320.5
  580.0   4694    0.6   -0.1     95   6.59     86     11  319.9  341.3  321.1
  572.0   4806    2.6  -13.4     30   2.39     87     12  323.5  331.8  323.9
  543.0   5225    0.2  -26.8     11   0.79     93     15  325.4  328.4  325.6
  531.0   5403   -1.0  -25.2     14   0.93     95     17  326.1  329.6  326.3
  530.0   5418   -1.1  -25.1     14   0.95     94     17  326.2  329.6  326.3
  514.0   5661   -2.9   -7.9     68   4.13     82     18  326.9  340.9  327.7
  507.0   5770   -2.7  -15.7     36   2.23     77     18  328.4  336.3  328.8
  505.0   5801   -2.8  -18.4     29   1.78     75     18  328.7  335.1  329.0
  501.0   5864   -2.9  -23.9     18   1.11     79     16  329.2  333.4  329.5
  500.0   5880   -3.1  -23.1     20   1.20     80     16  329.2  333.6  329.4
  492.0   6008   -3.7  -11.7     54   3.19     95     15  330.0  341.1  330.6
  472.0   6335   -5.0  -16.6     40   2.22     95     16  332.3  340.3  332.8
  455.0   6623   -6.1  -20.9     30   1.59     65     18  334.4  340.3  334.8
  449.0   6728   -6.5  -22.5     27   1.41     72     18  335.2  340.4  335.5
  438.0   6921   -8.2  -21.1     34   1.63     85     19  335.5  341.5  335.8
  425.0   7155  -10.1  -19.4     47   1.94     75     22  335.9  343.0  336.2
  424.0   7173  -10.3  -19.3     48   1.97     76     22  335.9  343.1  336.3
  411.0   7412  -12.1  -23.2     39   1.44     95     20  336.5  341.9  336.8
  400.0   7620  -13.7  -26.7     33   1.08     95     21  337.1  341.2  337.3
  395.0   7715  -14.5  -26.7     35   1.10     95     23  337.2  341.4  337.5
  388.0   7851  -15.7  -26.7     38   1.12     90     21  337.4  341.7  337.6
  361.0   8391  -19.7  -24.2     67   1.50     68     13  339.1  344.8  339.4
  358.0   8452  -20.1  -24.6     68   1.47     65     12  339.3  344.9  339.6
  341.0   8806  -22.6  -26.7     69   1.27     75     13  340.7  345.6  341.0
  322.0   9224  -25.5  -29.1     72   1.07     50     14  342.3  346.5  342.6
  300.0   9740  -29.1  -32.2     75   0.86     65     10  344.2  347.6  344.4
  286.0  10081  -31.9  -34.4     78   0.73     73     11  345.0  347.9  345.1
  275.0  10358  -34.1  -38.7     63   0.49     79     12  345.7  347.7  345.8
  261.0  10723  -37.3  -38.8     86   0.51     88     13  346.2  348.3  346.3
  255.0  10883  -38.1  -45.1     48   0.27     92     14  347.3  348.5  347.4
  250.0  11020  -39.1  -45.1     53   0.27     95     14  347.8  349.0  347.9
  248.0  11075  -39.5  -47.5     42   0.21     95     14  348.0  348.9  348.1
  247.0  11103  -39.7  -48.7     38   0.19     94     14  348.1  348.9  348.1
  238.0  11353  -41.6  -53.6     26   0.11     85     13  349.0  349.5  349.0
  231.0  11554  -43.1  -57.5     19   0.07    110      8  349.7  350.0  349.7
  221.0  11853  -45.3  -63.3     11   0.03     99      9  350.7  350.9  350.7
  217.0  11973  -46.3  -63.4     13   0.03     95     10  351.0  351.1  351.0
  209.0  12220  -48.4  -63.6     16   0.04     80     10  351.5  351.6  351.5
  202.0  12445  -50.3  -63.8     19   0.04    100     12  351.9  352.1  351.9
  200.0  12510  -50.9  -63.9     20   0.04    100     13  352.0  352.2  352.0
  190.0  12841  -53.9  -62.9     32   0.04    107     15  352.4  352.6  352.4
  178.0  13254  -56.8  -67.2     26   0.03    115     17  354.3  354.4  354.3
  165.0  13733  -60.1  -72.1     19   0.01    104     20  356.5  356.6  356.5
  150.0  14320  -65.1  -74.1     28   0.01     90     23  357.7  357.8  357.7
  149.0  14360  -65.5  -74.2     29   0.01     85     23  357.8  357.8  357.8
  126.0  15358  -75.3  -77.8     68   0.01     85     32  357.6  357.6  357.6
  100.0  16670  -83.7  -88.5     43   0.00     85     44  365.8  365.8  365.8
   91.0  17189  -85.1  -89.8     44   0.00     95     50  373.0  373.0  373.0
   86.0  17500  -85.9  -90.5     44   0.00     90     55  377.4  377.4  377.4
   80.0  17902  -81.0  -88.8     26   0.00     70     30  395.5  395.5  395.5
   79.7  17923  -80.7  -88.7     26   0.00     71     29  396.4  396.5  396.4
   77.0  18118  -79.7  -88.8     21   0.00     80     24  402.5  402.5  402.5
   74.0  18344  -78.5  -88.8     18   0.00    110     31  409.5  409.5  409.5
   70.0  18660  -76.9  -88.9     13   0.00     95     40  419.6  419.6  419.6
   69.0  18743  -76.3  -89.0     12   0.00     95     43  422.5  422.5  422.5
   65.6  19036  -74.3  -89.3      8   0.00     82     39  433.1  433.1  433.1
   64.0  19180  -75.1  -89.5      9   0.00     75     37  434.3  434.3  434.3
   62.9  19280  -75.7  -89.7     10   0.00     66     33  435.2  435.2  435.2
   60.0  19556  -74.4  -89.8      8   0.00     40     23  444.0  444.0  444.0
   57.0  19856  -73.0  -89.8      6   0.00     55     15  453.8  453.8  453.8
   54.8  20086  -71.9  -89.9      5   0.00     85     21  461.4  461.4  461.4
   53.0  20283  -72.2  -90.2      5   0.00    110     27  465.1  465.2  465.1
   52.4  20350  -72.3  -90.3      5   0.00    103     29  466.4  466.4  466.4
   51.0  20512  -69.2  -90.1      3   0.00     85     35  477.3  477.4  477.3
   50.0  20630  -66.9  -89.9      3   0.00     85     33  485.4  485.4  485.4
   46.6  21061  -61.1  -87.1      2   0.00     91     29  509.2  509.2  509.2
   44.0  21416  -61.9  -87.5      2   0.00     95     26  515.8  515.8  515.8
   42.0  21703  -62.5  -87.9      2   0.00    100     38  521.1  521.1  521.1
   41.0  21851  -62.8  -88.1      2   0.00    105     32  523.9  523.9  523.9
   39.0  22160  -63.5  -88.5      2   0.00    104     30  529.7  529.8  529.7
   34.0  23012  -60.8  -86.9      2   0.01    100     26  558.0  558.1  558.0
   32.0  23388  -59.6  -86.2      2   0.01    100     38  571.0  571.1  571.0
   31.0  23585  -59.0  -85.8      2   0.01     90     34  577.9  578.0  577.9
   30.6  23666  -58.7  -85.7      2   0.01     96     34  580.7  580.8  580.7
   30.0  23790  -59.1  -86.1      2   0.01    105     33  582.9  583.0  582.9
   27.8  24266  -59.9  -86.9      2   0.01     97     38  593.5  593.6  593.5
   26.0  24686  -56.5  -85.3      2   0.01     90     42  614.7  614.8  614.7
   25.8  24735  -56.1  -85.1      1   0.01     86     42  617.1  617.2  617.1
   25.0  24934  -56.5  -85.2      2   0.01     70     42  621.5  621.6  621.5
   24.0  25192  -57.1  -85.4      2   0.01     85     40  627.1  627.2  627.1
   23.3  25379  -57.5  -85.5      2   0.01     84     40  631.3  631.4  631.3
   20.0  26350  -53.9  -82.9      2   0.02     80     43  670.4  670.6  670.5
   19.0  26680  -53.8  -83.4      2   0.02     85     48  680.8  681.0  680.8
   18.5  26851  -53.7  -83.7      1   0.02     87     48  686.2  686.4  686.2
