-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    105                                                               
  996.0    108   26.4   25.2     93  20.78    310      6  299.9  361.1  303.6
  925.0    791   22.4   18.3     78  14.52    285     14  302.2  345.3  304.8
  909.0    943   21.6   17.2     76  13.77    283     13  302.9  343.9  305.4
  882.0   1204   20.6   15.0     70  12.34    280     12  304.5  341.6  306.8
  850.0   1524   19.4   12.4     64  10.75    285     10  306.4  339.1  308.4
  846.0   1565   19.2   12.2     64  10.66    288     10  306.7  339.1  308.6
  829.0   1739   18.0   14.4     79  12.60    301      8  307.2  345.4  309.5
  823.0   1802   17.8   13.7     77  12.15    305      7  307.6  344.6  309.9
  795.0   2098   17.0   10.6     66  10.20    350      3  309.8  341.2  311.7
  788.0   2174   16.8    9.8     63   9.74      2      3  310.4  340.5  312.2
  767.0   2403   15.5    8.8     64   9.32     40      3  311.4  340.4  313.1
  741.0   2694   13.9    7.4     65   8.80    105      3  312.7  340.3  314.4
  700.0   3176   11.2    5.2     67   7.98     65      5  314.9  340.2  316.4
  693.0   3260   11.0    4.0     62   7.41     68      6  315.5  339.1  316.9
  689.0   3307   10.7    3.8     62   7.34     70      6  315.7  339.1  317.1
  665.0   3598    8.7    2.5     65   6.95    120      8  316.7  339.0  318.0
  596.0   4495    2.6   -1.4     75   5.82    125      9  319.7  338.7  320.8
  574.0   4803    0.5   -2.8     79   5.46    110     10  320.7  338.6  321.7
  569.0   4874    0.0   -3.1     80   5.38    112     10  320.9  338.6  321.9
  558.0   5031   -0.7   -3.3     83   5.41    116     11  321.9  339.7  322.9
  554.0   5088   -0.9   -4.8     75   4.86    117     11  322.3  338.5  323.2
  541.0   5278   -1.9   -6.3     72   4.44    122     12  323.3  338.2  324.2
  535.0   5366   -2.3   -9.3     59   3.55    124     12  323.9  335.9  324.6
  534.0   5381   -2.3  -11.3     50   3.04    125     12  324.0  334.4  324.6
  533.0   5396   -2.3  -13.3     43   2.59    125     12  324.2  333.1  324.7
  530.0   5441   -2.9   -8.9     63   3.70    121     11  324.0  336.6  324.7
  517.0   5637   -4.5   -7.0     83   4.40    104      9  324.4  339.2  325.2
  503.0   5853   -5.7   -9.3     76   3.78     84      6  325.5  338.3  326.2
  500.0   5900   -5.9   -8.2     84   4.15     80      5  325.8  339.9  326.6
  499.0   5916   -6.1   -7.8     88   4.29     78      5  325.7  340.2  326.6
  494.0   5994   -6.1  -12.1     63   3.08     69      5  326.7  337.3  327.3
  481.0   6201   -7.7  -12.2     70   3.14     46      3  327.2  338.0  327.8
  475.0   6298   -8.2  -12.7     70   3.04     35      3  327.8  338.3  328.4
  457.0   6596   -9.6  -14.4     68   2.76     45      3  329.6  339.3  330.2
  456.0   6613   -9.7  -14.5     68   2.74     47      3  329.7  339.4  330.3
  454.0   6647   -9.7  -16.7     57   2.29     51      3  330.1  338.3  330.6
  442.0   6852  -11.3  -15.4     72   2.63     73      3  330.6  339.9  331.2
  427.0   7115  -12.5  -17.3     67   2.32    102      4  332.4  340.7  332.9
  423.0   7187  -12.8  -18.3     63   2.15    110      4  332.9  340.7  333.4
  415.0   7332  -13.3  -20.3     56   1.85     84      4  334.1  340.8  334.5
  406.0   7497  -14.1  -21.7     53   1.67     55      3  335.1  341.2  335.4
  400.0   7610  -14.7  -22.7     51   1.55     80      5  335.8  341.6  336.1
  390.0   7800  -15.9  -23.6     52   1.47     90      8  336.7  342.2  337.0
  369.0   8217  -18.5  -25.5     54   1.31    106      9  338.6  343.5  338.8
  346.0   8691  -21.7  -32.5     37   0.73    125     10  340.5  343.4  340.6
  322.0   9220  -25.3  -40.3     23   0.36    122      9  342.6  344.1  342.7
  306.0   9587  -28.2  -41.0     28   0.35    120      9  343.6  345.0  343.7
  300.0   9730  -29.3  -41.3     30   0.34    130      6  344.0  345.4  344.0
  281.0  10191  -33.1  -44.0     33   0.28    225      7  345.0  346.1  345.0
  269.0  10498  -35.7  -45.8     35   0.24    265      7  345.6  346.6  345.6
  268.0  10524  -35.9  -45.9     35   0.23                345.6  346.6  345.7
