-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1010.0     12   29.2   24.9     78  20.10    350      8  301.5  361.1  305.1
 1009.0     21   28.2   21.2     66  15.98    347      8  300.6  347.7  303.4
 1000.0     99   28.4   22.4     70  17.39    320      4  301.6  353.0  304.7
  985.0    234   27.8   20.8     66  15.97    310      5  302.2  349.7  305.1
  978.0    297   27.3   20.4     66  15.72    305      5  302.4  349.1  305.2
  945.0    600   25.0   18.7     68  14.57    305      5  303.0  346.4  305.7
  925.0    789   23.6   17.6     69  13.88    280      6  303.4  344.9  306.0
  913.0    903   22.7   17.3     71  13.79    260      5  303.7  344.9  306.2
  883.0   1194   20.5   16.5     78  13.54    240      5  304.2  344.8  306.7
  869.0   1333   19.4   16.1     81  13.42    246      6  304.5  344.8  307.0
  850.0   1524   18.4   14.6     79  12.44    255      7  305.4  342.9  307.7
  789.0   2158   15.2    9.2     67   9.34    262      5  308.6  337.3  310.3
  767.0   2397   14.5    3.7     48   6.56    265      4  310.3  330.9  311.6
  757.0   2508   14.2    1.2     41   5.54    276      4  311.1  328.7  312.2
  740.0   2699   12.8    6.0     64   8.00    295      4  311.6  336.6  313.1
  738.0   2721   12.6    6.6     67   8.35    292      4  311.7  337.8  313.2
  715.0   2986   11.8    3.8     58   7.08    252      5  313.6  336.0  314.9
  714.0   2998   11.7    3.9     59   7.16    250      5  313.7  336.3  315.0
  700.0   3163   10.8    5.8     71   8.33    215      4  314.4  340.7  316.0
  689.0   3295   10.0    5.4     73   8.25    160      3  314.9  341.0  316.5
  679.0   3417    9.2    5.1     76   8.18     97      2  315.4  341.3  316.9
  664.0   3599    8.1    4.0     75   7.72      0      0  316.2  340.8  317.7
  641.0   3887    6.4    2.2     74   7.05    180      4  317.4  340.1  318.8
  617.0   4198    4.6    0.3     74   6.37    155      3  318.8  339.5  320.1
  595.0   4495    2.8   -1.5     73   5.78    210      3  320.1  339.0  321.2
  573.0   4802    1.0   -3.4     72   5.21    225      4  321.4  338.7  322.5
  561.0   4975    0.0   -4.5     72   4.91    199      5  322.2  338.5  323.2
  552.0   5104   -0.8   -4.7     75   4.93    180      5  322.7  339.2  323.7
  538.0   5309   -2.1   -4.9     81   4.97    173      5  323.6  340.2  324.5
  532.0   5398   -2.3   -6.0     76   4.61    170      5  324.3  339.8  325.2
  517.0   5626   -2.9   -8.9     63   3.79     88      4  326.3  339.3  327.1
  512.0   5703   -3.4   -9.0     65   3.80     60      3  326.6  339.7  327.4
  500.0   5890   -4.5   -9.2     70   3.83     10      6  327.5  340.6  328.2
  496.0   5953   -4.7  -10.7     63   3.43     10      6  328.0  339.9  328.7
  493.0   6001   -5.1  -10.2     68   3.60     10      6  328.1  340.5  328.8
  485.0   6130   -6.1   -8.7     82   4.11     14      7  328.4  342.5  329.2
  475.0   6294   -7.2   -9.7     82   3.88     20      8  329.0  342.4  329.8
  474.0   6310   -7.3   -9.8     82   3.86     19      8  329.1  342.4  329.8
  468.0   6410   -7.3  -11.6     71   3.38     14      8  330.3  342.1  330.9
  459.0   6561   -8.3  -12.8     70   3.13      7      8  330.9  341.8  331.5
  457.0   6595   -8.4  -14.1     64   2.83      5      8  331.1  341.1  331.7
  453.0   6664   -8.7  -16.7     52   2.30      4      8  331.6  339.8  332.1
  440.0   6889  -10.1  -19.1     48   1.93      0      6  332.6  339.6  333.0
  433.0   7013  -11.1  -19.1     52   1.96    356      6  332.9  340.0  333.2
  428.0   7103  -11.7  -15.2     75   2.76    353      5  333.2  343.0  333.8
  424.0   7175  -11.7  -21.7     43   1.60    351      5  334.1  340.0  334.4
  423.0   7193  -11.8  -21.7     44   1.61    350      5  334.2  340.1  334.5
  410.0   7432  -13.3  -21.3     51   1.71     13      3  335.2  341.6  335.6
  406.0   7507  -13.8  -22.6     47   1.55     20      2  335.6  341.3  335.9
  405.0   7525  -13.9  -22.9     47   1.51     23      2  335.6  341.2  335.9
  400.0   7620  -14.5  -24.5     42   1.32     40      1  336.1  341.0  336.3
  397.0   7677  -14.9  -24.9     42   1.28     33      1  336.3  341.1  336.5
  391.0   7792  -15.5  -26.5     38   1.13     20      2  336.9  341.2  337.2
  388.0   7850  -15.7  -27.7     35   1.02     28      2  337.4  341.3  337.6
  387.0   7869  -15.9  -30.9     26   0.76     31      2  337.4  340.3  337.6
  384.0   7928  -16.1  -28.1     35   0.99     39      3  337.9  341.7  338.1
  383.0   7947  -16.3  -29.3     32   0.89     42      3  337.9  341.3  338.1
  382.0   7967  -16.3  -29.3     32   0.89     45      3  338.1  341.6  338.3
  381.0   7987  -16.3  -22.3     60   1.69     48      3  338.4  344.7  338.7
  375.0   8104  -17.1  -23.4     58   1.55     65      4  338.9  344.7  339.2
  333.0   8984  -23.1  -31.8     45   0.80     35      5  342.4  345.5  342.5
  329.0   9074  -23.7  -32.7     43   0.75     55      5  342.7  345.7  342.9
  319.0   9297  -25.4  -33.4     47   0.72    105      6  343.3  346.2  343.5
  306.0   9597  -27.8  -34.4     53   0.68    120      7  344.1  346.9  344.3
  300.0   9740  -28.9  -34.9     56   0.66    110      6  344.5  347.2  344.7
  295.0   9860  -29.9  -34.0     67   0.73     89      6  344.8  347.7  344.9
  294.0   9884  -30.1  -34.2     67   0.72     85      6  344.8  347.7  345.0
  250.0  11020  -39.5  -43.7     64   0.32    105     15  347.2  348.6  347.3
  247.0  11103  -39.9  -44.3     63   0.30    106     15  347.8  349.1  347.9
  216.0  11997  -47.9                         115     21  349.0         349.0
  200.0  12510  -52.5                         115     24  349.5         349.5
  163.0  13783  -62.6                         135     35  353.6         353.6
  150.0  14300  -66.7                         120     49  355.0         355.0
  127.0  15281  -75.1                         100     56  357.2         357.2
  122.0  15517  -77.1                                     357.6         357.6
