-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
   90.0         -86.5                                     371.4         371.4
   86.4         -86.7                                     375.3         375.3
   83.0         -82.1                          95     28  389.1         389.1
   81.3         -79.7                          73     21  396.2         396.2
   78.0         -78.3                          30      7  403.9         403.9
   76.2         -77.5                         321      6  408.2         408.2
   74.0         -78.3                         235      5  410.1         410.1
   70.0  18630  -79.7                         125      5  413.6         413.6
   67.0  18882  -78.1                         260      7  422.3         422.3
   63.0  19236  -75.8                         185      8  434.9         434.9
   60.0  19516  -73.9                         135     10  445.1         445.1
   58.4  19671  -72.9                         129     13  450.8         450.8
   54.2  20104  -76.1                         111     20  453.2         453.2
   54.0  20126  -76.0                         110     20  453.8         453.8
   50.0  20570  -74.7                         135     26  467.1         467.1
   49.0  20687  -75.4                         130     26  468.1         468.1
   48.9  20699  -75.5                         129     26  468.1         468.1
   46.0  21059  -68.1                         110     29  494.2         494.2
   43.7  21369  -64.9                          93     32  509.4         509.4
   42.0  21609  -65.3                          80     34  514.0         514.0
   40.0  21906  -65.9                          81     35  519.9         519.9
   36.4  22484  -60.7                          82     36  547.5         547.5
   32.4  23205  -62.1                          84     37  562.3         562.3
   31.0  23478  -62.0                          85     38  569.7         569.7
   30.0  23680  -61.9                          75     26  575.3         575.3
   29.0  23890  -61.8                          80      8  581.2         581.2
   27.0  24332  -61.5                         110     18  593.9         593.9
   26.7  24401  -61.5                         109     20  595.9         595.9
   21.0  25909  -56.2                          85     52  654.2         654.2
   20.7  25999  -55.9                                     657.8         657.8
